Epoch 1/1 | Batch 3400/4000 | Avg Loss: 0.24789748191833497
Epoch 1/1 | Batch 3440/4000 | Avg Loss: 0.06700000762939454
Epoch 1/1 | Batch 3480/4000 | Avg Loss: 0.08109025955200196
Epoch 1/1 | Batch 3520/4000 | Avg Loss: 0.024989891052246093
Epoch 1/1 | Batch 3560/4000 | Avg Loss: 0.07375686168670655
Epoch 1/1 | Batch 3600/4000 | Avg Loss: 0.07175065279006958
Epoch 1/1 | Batch 3640/4000 | Avg Loss: 0.040824604034423825
Epoch 1/1 | Batch 3680/4000 | Avg Loss: 0.20819492340087892
Epoch 1/1 | Batch 3720/4000 | Avg Loss: 0.017501449584960936
Epoch 1/1 | Batch 3760/4000 | Avg Loss: 0.03761026859283447
Epoch 1/1 | Batch 3800/4000 | Avg Loss: 0.18532118797302247
Epoch 1/1 | Batch 3840/4000 | Avg Loss: 0.08423790931701661
Epoch 1/1 | Batch 3880/4000 | Avg Loss: 0.16480406522750854
Epoch 1/1 | Batch 3920/4000 | Avg Loss: 0.28922557830810547
Epoch 1/1 | Batch 3960/4000 | Avg Loss: 0.33021951019763945
