Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:26<00:26, 26.09s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:33<00:00, 15.34s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:33<00:00, 16.96s/it]
trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.0622
  0%|          | 0/1 [00:00<?, ?it/s]100%|██████████| 1/1 [26:46<00:00, 1606.45s/it]100%|██████████| 1/1 [26:46<00:00, 1606.45s/it]
Epoch 1/1 | Batch 0/4000 | Avg Loss: 9.0
Epoch 1/1 | Batch 3040/4000 | Avg Loss: 0.016663742065429688

Epoch 1/1 | Batch 3080/4000 | Avg Loss: 0.002859687805175781

Epoch 1/1 | Batch 3120/4000 | Avg Loss: 0.10801830291748046

Epoch 1/1 | Batch 3160/4000 | Avg Loss: 0.01505746841430664

Epoch 1/1 | Batch 3200/4000 | Avg Loss: 0.004694533348083496

Epoch 1/1 | Batch 3240/4000 | Avg Loss: 0.009163165092468261

Epoch 1/1 | Batch 3280/4000 | Avg Loss: 0.0635420799255371

Epoch 1/1 | Batch 3320/4000 | Avg Loss: 0.21772780418395996

Epoch 1/1 | Batch 3360/4000 | Avg Loss: 0.12512531280517578

Epoch 1/1 | Batch 3400/4000 | Avg Loss: 0.18202075958251954

Epoch 1/1 | Batch 3440/4000 | Avg Loss: 0.025100517272949218

Epoch 1/1 | Batch 3480/4000 | Avg Loss: 0.13998970985412598

Epoch 1/1 | Batch 3520/4000 | Avg Loss: 0.04953775405883789

Epoch 1/1 | Batch 3560/4000 | Avg Loss: 0.0367332935333252

Epoch 1/1 | Batch 3600/4000 | Avg Loss: 0.18644509315490723

Epoch 1/1 | Batch 3640/4000 | Avg Loss: 0.012679481506347656

Epoch 1/1 | Batch 3680/4000 | Avg Loss: 0.124835205078125

Epoch 1/1 | Batch 3720/4000 | Avg Loss: 0.010097122192382813

Epoch 1/1 | Batch 3760/4000 | Avg Loss: 0.005284166336059571

Epoch 1/1 | Batch 3800/4000 | Avg Loss: 0.24093399047851563

Epoch 1/1 | Batch 3840/4000 | Avg Loss: 0.05572104454040527

Epoch 1/1 | Batch 3880/4000 | Avg Loss: 0.028370237350463866

Epoch 1/1 | Batch 3920/4000 | Avg Loss: 0.20074806213378907

Epoch 1/1 | Batch 3960/4000 | Avg Loss: 0.14276571273803712

